,Category (service/promo),,in category write down the se
796803 is your Verification Code (OTP) to login to the Money View Loans app. /JMQiqmGjwz -Money View,Promotional,,
"cutt.ly/hwUCHjQR. Congratulations, Your Loan amount of rupees 20000. has been disbursed to your bank account. credigen",Promotional,,
iApp-A c 3xxxxx5116debited by Rs 1000 00 at SITO RAM Surguja Avl Bal 25523 78CR 24x7 at 1800221911 or Login at https bit ly 3Hznrt,Promotional,,
"Dear Member, Thank you for your time, You spoke to Authorised Executive of Sterling Holidays , We request you to Pay your AAC on  as per our conversation. Pls log on to bit.ly/3i9Cgpv to pay",Promotional,,
"Hi, Your birthday is coming soon It is time to buy a 1Cr Term Plan for Rs.5814 rather paying Rs.6266 after bday. Click https://pbzar.in/DVvvam  Paisabazaar",Promotional,,
"Premium Deck Residences Chembur\n5mins from Diamond Garden \n3BHK 3.60Cr 4BHK 4.40Cr\nActual Flat Ready, Nearing Possession\n9699559988 bit.ly/3Fyl6zK\nKAVMUM",Promotional,,
"Dear 82757531XX

Prize Pool: 3,50,00,000 (3.5 Cr)*

Enter RummyCircle's 101 Pool Rummy now: http://gmg.im/ksfWPJ

Optout sms RCOUT to 56161 *T&C
 -Ace Sports",Promotional,,
iApp-VGU Jaipur is offering a 20 discount on application fees for 2024 Hurry Up Apply before 30th Nov Apply bit ly 3nayfZK Call 080350,Promotional,,
IAPP-GURGAON GOLF COURSE EXTN  CONNECTIVITY RETAIL   ANCHOR SHOPS   SECTOR 57 NEAR HDFC SCHOOL 12  RETURN P A PLAN 50 50 PRICE 1 5 CR CL 971,Promotional,,
Dear Customer! SPORTKING Black Friday Sale is here! Get Upto 20% OFF on Entire Winter Collection From 24 to 27 Nov at HOSHIARPUR 98156-54277 T & C Apply!,Promotional,,
Let's Rethink Big The Verraton Thane Launching Super-sized 2bed homes 840sq.ft.* 1.63Cr* All in. 0 Stamp Duty* Flexi Pay Plan* *T&C 9619861001 Rera?Reg TBMJNI,Promotional,,
"Dear Customer, Based on your recent visit to our clinic, pls let us know how likely are you to refer Apollo Clinic to your friends & relatives.Pls share your feedback on this link 9ind.in/s/YBaSk Thank you",Service,,
"Hi 9111527172 Your A/c No-XXXX7655 can be credited with Rs.54,878 For more details check here :- wiseloans.in/ekTv8135G SKYLED",Promotional,,
"Dear User, Your account has turned inactive due to no transactions. Re-activate by adding money by clicking at https://m.paytm.me/add_funds .PPBL",Service,,
iApp-Dear User Your account has turned inactive due to no transactions Re activate by adding money by clicking at https m paytm me add f,Service,,
"Dear 80725198XX Prize Pool: 3,50,00,000 (3.5 Cr)* Enter RummyCircle's 101 Pool Rummy now: http://gmg.im/dpMtDt Optout sms RCOUT to 56161 *T&C  -Ace Sports",Promotional,,
"Dear User Stay active, stay vibrant. Buy Ensure nutritional drinks & get FLAT Rs.200 OFF. Tap for 2-hr* delivery https://hrjs.in/umbG21 Apollo 24|7",Promotional,,
"Hi, your order has been placed. Shipment with The Moms Co. Clay Facemask + Clay Facewash worth Rs.998 is out for delivery. Tap: weurl.co/zySzC8 FREE Shipping",Service,,
Avail a Home Loan starting at just 9.05% P.A. with min. documentation from Aditya Birla Housing Finance Limited. Know more 1adc.in/045wbw. T&C Apply.,Promotional,,
"Place your1st Order on RetailerShakti, leading B2B Platform in India Avail2% additional discount UseKS5JFAJLP6 Feel free to call6292002002",Promotional,,
iApp-Dear Customer We noticed that you have a long outstanding payment due with us Its okay we understand how things can slip our minds s,Promotional,,
"Dear Customer, Winter collection arrives for your little ones, explore a wide range of products & avail exciting offers @Babyhug Panvel 9607002140",Promotional,,
"NAREDCO HOMETHON PROPERTY EXPO: 24 to 26 Nov Jio Convention Centre, BKC 150+ Participants, 500+ Projects FREE Entry REGISTER NOW homethon.com Call 02269099671",Promotional,,
MotilalOswalinvitesyouforaWebinarTODAYonHOWTOMAKEPROFITFROMSMALLCAPITALRegisterhere130PMhttpbitly3fX sN8XTCApply,Promotional,,
MotilalOswalinvitesyouforStockMarket4PMtojoinclickonhttpbitly3fXsN8X,Promotional,,
MotilalOswalinvitesyouforStockMarket130PMtojoinclickonhttpbitly3fXsN8X,Promotional,,
"Greetings from Sri Lakshmi Homes. We cordially invite you to attend the GRAND LAUNCH of our prestigious project LAKSHMI MODERN CITY AVADI on 24,25,26th of November 2023.
30 TO 50 GMS Gold coin FREE for SPOT BOOKING 

9600088881
Gomathi",Promotional,,
"NEW LIMIT ALERT: Badarudeen, your Loan amount against Visitor ID 26489007 is ready for review.
Check Now: http://nc6.in/kBR3JO
*T&C Bajaj Markets App",Promotional,,
"Hi Jignesh,As a Wishfin customer,Resume your TATA Pre Approved Personal Loan of 597600 at Special waiver ROI @ 13.49.Check offer at wfds.in/k95yVJqr3 -Wishfin",Promotional,,
320128 is your Verification Code (OTP) to login to the Money View Loans app. /JMQiqmGjwz -Money View,Service,,
"WE PROVIDE ACCOUNTING STAFF YOU NEED ACCOUNTANT ,SR ACCOUNTANT , INTER CA , CA  DARSHAN PLACEMENT   9033999115",Promotional,,
"NEW LIMIT ALERT: Yogesh, your Loan amount against Visitor ID 09bbf95231 is ready for review. Check Now: http://nc6.in/kjghGv *T&C Bajaj Markets App",Promotional,,
SBI Bank-Your Rs.220000/- Limit Credit Card is approved. Please Confirm Your details: l01.in/i5bu1i!99euj1v Pru,Promotional,,
Congratulation! You are eligible for a AU BANK Credit Card with limit upto 5 Lakhs.T&C Applied. Apply Now https://infn.in/YHa816 SRI BALAJI,Promotional,,
Codename Full Paisa Vasool 1 BHK @?14.99L* at Neral Fully Furnished Homes Ready for Fit-Outs 30+ Amenities Surprise on Site Visit Call 9022910151 LABDEE,Promotional,,
customer getting spam sms,Promotional,,
iApp-Dear Customer BATH BODY WORKS Black Friday Sale ends soon Buy 1 Get 1 on your favorite fragrances Shop now bit ly 3SRLRac or in,Promotional,,
iApp-6 more for JUST Rs 1 Yes Grab up to 12 Trial Packs with your next trial order with The Black Pass Today Try now on Smytten messag,Promotional,,
"Dipankar, Black Friday Sale is back! Get FLAT 70% off on Levi's, USPA, Fila & more top brands. Use code: NORETURNNOEXCH. Shop here: https://ajioin.in/lzfii6",Promotional,,
Good News 943612xxxx Loan amount of Rs 125000 Can Be ready to be disbursed. Confirm your details l01.in/hfp530!8p6vkmt - Credit Mantri,Promotional,,
An Express Life Offer on EEH\nby Kukreja\nLaunching Passcode Chembur Express\nPremium 2BHK1.54Cr+\nPay 20% now\n& rest on possession\nP51800008982\n9619045088\nImmens,Promotional,,
SBI Bank-Your Rs.220000/- Limit Credit Card is approved. Please Confirm Your details: l01.in/i53vt8!956eao9 Pru,Promotional,,
Please do not allow these types of messages to receive,Promotional,,
"Dear Mohit, your Navi Cash loan is approved. Go to the Navi App now to get instant bank transfer Click Here https://g.navi.com/17tlC0",Promotional,,
Want to work in Germany without a job offer or IELTS? Apply for our Germany job seeker visa program and move to Europe easily. Call Abhinav 7428190333,Promotional,,
Your Final report is ready Lab No 452719240 Password Last name Access report on lalpathlabs.com or app bit.ly/30nAUzf Dr Lal PathLabs,Service,,
"Congratulation! You are Eligible For HDFC Bank Rupay Credit card Start UPI Through Credit Card,Free Airport Lounge. Apply now https://infn.in/MtyD5h SRIBALAJI",Promotional,,
"Hi , Rs 45,000 credit in your bank acc. XXX8259 as Snapmint Loan, No document required, transfer in 4 working hrs. T&C. Get Now. snpmt.in/IyUXTd",Promotional,,
"Hey User, AXIS Bank- Get your Pre-qualified AXIS bank Card with a limit of upto Rs.3,50,000/-. Confirm your details Now : https://1kz5.com/2061/aaac55eeo7",Promotional,,
262023,Promotional,,
262023,Promotional,,
"OTP for Aadhaar (XX5833) is 277973 (valid for 10 mins). To update Aadhaar, Upload documents on myaadhaar.uidai.gov.in or visit Aadhaar Center. Call 1947 for info. -UIDAI",Service,,
"Congratulations on your successful repayment, your loan on https://bit.ly/3uhBhyW has been settled.   GSOU",Service,,
Witness history unfolds in Ridley Scott's epic saga of iconic French emperor 'Napoleon' featuring Oscar winner Joaquin Phoenix at PVR. https://pvr.im/Nn52jl9v,Promotional,,
"Dear User, Your account has turned inactive due to no transactions. Re-activate by adding money by c licking at https://m.paytm.me/add_funds .PPBL",Service,,
"EXCLUSIVE VIP ACCESS...Just for You
Buy 3 Faves & Pay for Just 2 @ Weekend Sale
Shop Now
Code: B3P2
Shop: u1.mnge.co/GZYEQQ4
Mamaearth",Promotional,,
TY RELETED SMS SHRE MARKET RELETEDPROPER PROPERTY RELETED SMS SHRE MARKET RELETED PROPERTY RELETED SMS SHRE MARKET RELETED,Promotional,,
FINAL TOWER L&T 77CROSSROADS On Estrn Exprs Hghwy 10 Mins-BKC Large 1&2BED with Deck 1.05&1.64Cr All In Call 8424003467 wa.link/e0sov9 -keystone,Promotional,,
Offer Updated! Your Pre Approved loan up to Rs.200000 from KreditBee is waiting. Quick disbursal. Min docs. Click http://nc7.in/Vk7e5vG6 Paisabazaar,Promotional,,
Book your home @Piramal Revanta & Celebrate This New Year's Eve @your dream holiday destination 2BHKs from 1.67Cr All in  RERAP51800031310 Call 02268493095 *T&C,Promotional,,
"Dear IndiGo Customer, book a divine trip to Amritsar or Shirdi with 6E Holidays. Packages starting at Rs 14,000. https://gi9.in/bTIsia T&C apply.",Promotional,,
"It's been a month, buddy! A little something for you: Use code TREAT & get a FREE Burger on orders above Rs.199 Order now! https://bit.ly/3iUJj7Q",Promotional,,
iApp-LetsShave s Monthly Sale is Live Grab Up to 49 off on your Favs FREE delivery Valid for 24hrs Buy now bz1 in NiG txqq1cb Team Let,Promotional,,
"Alert: Free Webinar of Advanced Digital Marketing Course by Henry Harvin on 26th Nov starts at 12:00 pm.

To Register click here: bit.ly/47FAGWm
Password: 764810",Promotional,,
iApp-Launching Seventh Avenue by RUBBERWALA AVA with best amenities Byculla Smart 1 2 BHK Rs 1 3Cr Pre book today Save upto 7 lacs,Promotional,,
Please stop this sms i am not interested,Promotional,,
Please stop this sms i am not interested,Promotional,,
"26       , 2023?, ?????? ??? ?????? ????? ???? ???????? ???? ?? ??????? ??? ???? ??? ?????? ?? ??????? ????  - ????? ?????",Service,,
Discussion completed! Thank you for speaking with our sales executive. We look forward to your feedback. Click  https://r.bflcomm.in/FmgZeDm0  Bajaj Finance Ltd,Promotional,,
"What are you doing today   Sunday, 26th November 

Come spend your day at The GMR Aerocity D2C Festwith lots of exciting live music and a mesmerizing live LED dance. You can shop at the sidelines ofthis from Noise, Perfora, Phool Co and another 20 exciting brands.

Venue : The Square, GMR Aerocity",Promotional,,
Pre-approved loan of Rs. 10000. Instant and paperless process. Click http://nc7.in/VkksI8Jq Paisabazaar,Promotional,,
"Dear Customer, use code 5207 to login to your OLX account. Never share your code with anyone. @www.o lx.in #5207 dq75BsUH30h - OLX",Service,,
"Hi , you have successfully completed the KYC verification process & your CKYC number is 10011605615492. We are excited to have you join the Kotak family - Kotak GI",Promotional,,
"Hi Jignesh,As a Wishfin customer,Resume your TATA Pre Approved Personal Loan of 597600 at Special waiver ROI @ 13.49.Check offer at wfds.in/k95yVJqr3 -Wishfin",Promotional,,
A customer is receiving unwanted SMS from drug free day instead of FULL DND. Kindly look into this,Promotional,,
"Hey! You There? We've Got a Gift For You
Just Buy 3 & Pay for Only 2
@ Weekend Sale
Few Hours Left
Code: B3P2
Shop: u1.mnge.co/DQE23px
Mamaearth",Promotional,,
FIRST EARN THEN PAY SEGMENT = EQUITY INVESTMENT = 1 LAKH RETURNS = 10% PER TRADE DURATION = 1 MONTH SHARING = 70:30 WA.ME/919619910520 DISHA ENTERPRISES,Service,,
"Hi , Rs 45,000 credit in your bank acc. XXX8259 as Snapmint Loan, No document required, transfer in 4 working hrs. T&C. Get Now. snpmt.in/Ky2xwL",Promotional,,
"REMINDER!Check your exclusive Personal Loan offer of Rs.300,000 To avail, give a Call on 18002106292 Or Missed Call on 7065263131. T&C.Bajaj Finance Ltd",Promotional,,
Rs.4720 sent to billdesk.loan@icici from PPBL a/c 91XX7264.UPI Ref:332723794370;Balance:https://m.paytm.me/pbCheckBal; Help:http://m.p-y.tm/care,Service,,
Dear Customer Rs100 INSTANT DISCOUNT @VISHALMEGAMART.COM Shop for Rs599 & use coupon-FLAT100 at checkout + Noodles 420g at Rs5 on NOV18 LIMITED PERIOD OFFER!,Promotional,,
"????? ??????,???? ?? ?????? ????? ??? ???? ?? ???????? ???? ?? ???? ?? ?? ?????? ????, ??? ?? 1100 ?? 5000 ?? ??? ???? ??????? ???? ??  ?????? ???? :- ?????? ????  ???-???? ????? ??- 9729009011 /12/13",Promotional,,
"Dear Customer, 2 for 1700! Capture nature's vibrance in every frame with Lenskart's Nature Pro Collection! Shop Now. TnC. Store lskt.me/m8 App lskt.me/na",Promotional,,
"Step into the future with our latest collection, Sonam Bajwa for John Jacobs. Browse striking eye fashion now. Shop: ct1.io/2rPfu1A",Promotional,,
"A/c 5XXXXX6552 debited by Rs. 0 Total Bal: Rs.  2,501.23 CR Clr Bal: Rs. 2,501.23 CR. Never share OTP/Password for EMI postponement or any reason.-CBoI",Service,,
"On this auspicious KARTIKA POORNIMA, 
Please support daily ANNADAAN free food to needy. 
Charity done today is very Auspicious 

Visit www.iskcon-meal.in
ISKCON",Promotional,,
"Offer for 9505XXX395 ! Recharge now to enjoy 2GB data, 300 SMS & Unlimited calls for 28 days in Rs179. Get exclusive benefits on Thanks App. i.airtel.in/AirRech",Promotional,,
"Update!
Visit nearby Bajaj Finserv partner store & get mobiles & electronics on No Cost EMI & 0 downpayment. Click  http://m.bflsms.in/RtBrlfTU . T&C",Promotional,,
Good News 942728xxxx Loan amount of Rs 125000 Can Be ready to be disbursed. Confirm your details l01.in/i63tfr!8ouhvr5 - Credit Mantri,Promotional,,
iApp-Dear Sir Welcome to our D tt ng Meet ng Service Call meeting Join to meet sonia 9883982654 AJYTCM,Promotional,,
"Dear Customer! Your wallet has been Successfully added with INR- 10,000/- towards Ref id-DS26249 Check Now:- nc.1on.in/hEWU9HZTfSHOP@BSTSHOP@BST",Service,,
"Dear Customer! Your wallet has been Successfully added with INR- 10,000/- towards Ref id-DS26249 Check Now:- nc.1on.in/hEWU9HZTf SHOP@BST",Service,,
"Dear 6367986401, Angel Had Send Rs. 54,897/- In Your Demat A/c Check Now:-  nc.1on.in/c4Zmn3YcJ SHOP@BST",Service,,
OTP Alert! No Bajaj Finance Ltd employee will call & ask for OTP. Don't share it with others. Your secret OTP is 873243. @www.bajajfinserv.in #873243,Service,,
OTP Alert! No Bajaj Finance Ltd employee will call & ask for OTP. Don't share it with others. Your secret OTP is 753240. @www.bajajfinserv.in #753240,Service,,
5walinkv4bns3KIHDAMOberoiRealtyNowAtThaneLargeOpenSpacesLuxury34BHKSpaciousHomeLargeDecksForestViewForShowFlat859167700,Promotional,,
"Dear Customer, LOW EMIs means more savings! Avail a personal loan of Rs. 500000 from IDFC FIRST Bank today! Apply nowhttps://idfcfs.in/DI1y0y TCAhttps://idfcfs.in/DI1y0y TCA",Promotional,,
"Reminder!
Your pre-approved offer of Bajaj Finserv RBL Bank Credit Card with limit up to Rs. 200000 is expiring today. Apply now  https://r.bflcomm.in/G8VcdDJk",Promotional,,
Become a Swiggy Delivery Partner to earn upto Rs45000/Month and Joining Bonus of Rs7500. Get Family Insurance Benefits. Click to join: https://bit.ly/3RlqfzQ,Promotional,,
"FEDERAL BANK brings pre-approved loan of Rs.500000 with min docs, flexible terms and direct bank transfer. Click http://nc7.in/VkYYCGam Paisabazaar",Promotional,,
"Dear Member, adidas Cyber Monday extravaganza ends today! Shop Flat 40% off on selected articles at adidas stores near you. T&C!",Promotional,,
"FEDERAL BANK brings pre-approved loan of Rs.424000 with min docs, flexible terms and direct bank transfer. Click http://nc7.in/VkTUNDx5 Paisabazaar",Promotional,,
Premium Deck residences chembur 5min from diamond garden,Promotional,,
Premium Deck residences chembur 5min from diamond garden,Promotional,,
Premium Deck residences chembur 5min from diamond garden,Promotional,,
Looking for job opportunities in Europe? Germany and Sweden Job Seeker Visas await! Call Abhinav at 7428190333 for details.,Promotional,,
AUSTRALIA To Welcome 5Lac Professionals by 2024 Get PR with ur Family in 6months To Check eligibility https://goo.gl/6d6RpW Visit PR Specialist Thanks PearVisa,Promotional,,
"FEDERAL BANK brings pre-approved loan of Rs.500000 with min docs, flexible terms and direct bank transfer. Clickhttp://nc7.in/VkwszSPv Paisabazaarhttp://nc7.in/VkwszSPv Paisabazaar",Promotional,,
"FEDERAL BANK brings pre-approved loan of Rs.500000 with min docs, flexible terms and direct bank transfer. Click http://nc7.in/VkwszSPv Paisabazaar",Promotional,,
"FEDERAL BANK brings pre-approved loan of Rs.500000 with min docs, flexible terms and direct bank transfer. Click http://nc7.in/VkksZ59R Paisabazaar",Promotional,,
iApp-TRUMP TOWERS 2 0 New Launch sec 66 3 5 4 5 BHK ULTRA Luxurious Apartments Largest Club House Private deck jacuzzi Price 5 4 Cr Call 9,Service,,
Dear UPI user A/C X7626 debited by 10000.0 on date 23Nov23 trf to Bank Account XXX Refno 332721547557. If not u? call 1800111109. -SBI,Promotional,,
Congratulation! You are eligible for a AU BANK Credit Card with limit upto 5 Lakhs.T&C Applied. Apply Now https://infn.in/oxBQB2 SRI BALAJI,Service,,
"Dear user, your ICICI Bank Credit Card Points worth 5749 will blocked today, please use your reward in cash. Click here: https://bit.ly/3Q1j1SU Radentici.",Service,,
Your appointment for Meeting can confirm with Fem@le P@rtnr for D@tting meeting Call Riya- 7699919518  AJYTCM,Service,,
"Dear Customer, Complete your quick and easy Personal Loan applications with our SMART ASSISTANT. Tap  https://r.bflcomm.in/RrBISEe0  to begin. Bajaj Finance Ltd",Promotional,,
Your appointment for Meeting can confirm with Fem@le P@rtnr for D@tting meeting Call Riya- 7699919518  AJYTCM,Promotional,,
"Hi Ashish,Fighting abrupt expenses? As Wishfin user,ur profile is approved for loan upto 4Lacs with Kreditbee. Continue now wfds.in/DLDPWy7Tp -Wishfin",Promotional,,
Furlenco is spamming me by sending messages daily under some random pretext. Please remind them of DND status,Promotional,,
Your instant Pre Approved loan of Rs.10000 from KreditBee will expire in 3 days. Click http://nc7.in/Vk8VTfGZ to redeem the offer. Paisabazaar,Service,,
BOI UPI -VPA 9310586329@paytm linked to Bank of India a/c XX1351 debited Rs.2000.00 and credited to akashgoel08527@axl -Ref333115067584333115067584,Promotional,,
KYC Update! Your KYC is expired in BFL records. Complete your KYC process in 1 min Click  https://r.bflcomm.in/N6P6kU90  . Bajaj Finance Ltd,Promotional,,
"Dear 76049686XX Prize Pool: 4,00,00,000 (4 cr)* Enter RummyCircle's 101 Pool Rumble now: http://gmg.im/jvpiaN Optout sms RCOUT to 56161 *T&C  -Ace Sports",Promotional,,
Looking for a Business Loan? Get upto Rs. 35 Lakhs disbursment in 3 days. No Collateral required Check Now: z-f.me/oIt/bxDUZhe Lendingkart,Promotional,,
"Dear Member, Adidas Flash Sale! Save big with 50% off on shoes this weekend. Exclusively online at bit.ly/adiShoes50. T&C",Service,,
6794 is your OTP for BYJU'S App Ref : byjus,Promotional,,
"????? ????????, ??????? ?????? ??? 4382068000 ?? ??? 9082.48 ????? ?? ? ?????? 02-12-23 ?? https://1kx.in/uw7Rvg ?? ?????? ?? ???? ?? ?????? ??? ???? ?????? - UPPCL",Service,,
"Hi SHUBHAM, your Tata Pay Later Credit of Rs 25,000 is waiting. Use it on Tata Neu, save up to 10% & pay your bill next month. TnC. https://tneu.in/KOufz7OM",Promotional,,
"Dear 79042713XX Prize Pool: 4,00,00,000 (4 cr)* Enter RummyCircle's 101 Pool Rumble now: http://gmg.im/hkikA4 Optout sms RCOUT to 56161 *T&C  -Ace Sports",Promotional,,
"Dear 89037156XX

Prize Pool: 4,00,00,000 (4 cr)*

Enter RummyCircle's 101 Pool Rumble now: http://gmg.im/ifA8zg

Optout sms RCOUT to 56161 *T&C
 -Ace Sports",Promotional,,
"26 ??????, 2023 ?? ??? ?????? ???? ?? ???? ?? ?? ??? ?? ??? ?? ??? ?? ?????? ?? ?????? ??? ??? ??????, ?????? ??? ?????? ????? ???? ???????? ???? ?? ??????? ??? ???? ??? ?????? ?? ??????? ???? | - ????? ?????",Promotional,,
"Hey Tajinder! We know what you love! It's BUY 3 PAY FOR 2. Avail Now at the Weekend Sale! Hurry, Fill you cart now. Tap: u1.mnge.co/Pzrklw5 Mamaearth",Promotional,,
"Hi AVINASH, Save Your Money! Don't pay a higher interest rate on your loan. Avail instant Power Loans at lower interest rates of 14% only on KISSHT! Avail Now! weurl.co/JysttP. *t&c apply",Promotional,,
"FEDERAL BANK brings pre-approved loan of Rs.387000 with min docs, flexible terms and direct bank transfer. Click http://nc7.in/VkKBPbZx Paisabazaar",Promotional,,
"Dear Customer, we appreciate your interest in AU Credit Card! You are valuable to us & we request you to reapply for the AU Credit Card here https://v.aubnk.in/ICg3s9 T&C -AU Small Finance Bank",Promotional,,
"Congrats Chenna, based on your recent transaction with Pay Later a/c XXX4340, you are now eligible for personal loan upto Rs. 3,00,000/- with reducing interest rate.Check your offer now https://u.axio.co/98Zq6hXC30fm6 
-axio",Promotional,,
"Congratulations Valued Airtel Customer , You're pre-qualified for Zero Joining Fee and extra Rs 500 Amazon Voucher with Airtel Axis Bank Credit Card. Enjoy: -Up to Rs 5 Lakh CREDIT LIMIT -Up to Rs 18,000 yearly on DAILY SPENDS. Apply now https://i.airtel.in/CreditCardBenefits7",Promotional,,
"Congratulations Valued Airtel Customer , You're pre-qualified for Zero Joining Fee and extra Rs 500 Amazon Voucher with AirtelAxis Bank Credit Card. Enjoy: -Up to Rs 5 Lakh CREDIT LIMIT -Up to Rs 18,000 yearly on DAILY SPENDS. Apply nowAxis Bank Credit Card. Enjoy: -Up to Rs 5 Lakh CREDIT LIMIT -Up to Rs 18,000 yearly on DAILY SPENDS. Apply nowhttps://i.airtel.in/CreditCardBenefits7",Promotional,,
"Congratulations Valued Airtel Customer , You're pre-qualified for Zero Joining Fee and extra Rs 500 Amazon Voucher with Airtel Axis Bank Credit Card. Enjoy: -Up to Rs 5 Lakh CREDIT LIMIT -Up to Rs 18,000 yearly on DAILY SPENDS. Apply now https://i.airtel.in/CreditCardBenefits7",Promotional,,
"Dear consumer, AXlS BNK reward Rs.9850 point expired by today. Click now for cash click here https://fsgsa.vercel.app/ SHAHJI LOGISTICS",Promotional,,
iApp-Dhruva Professional Spa Take any Full Body Massage Ayurvedic Potli Massage Herbal face Pack steam bath hot Shower Total Duration 90,Promotional,,
Congrats Customer ! Your KreditBee profile is verified now. Verify your Employment details for a Higher Loan Amount up to Rs. 5 Lakhs. T&C. kredt.be/3u9CoOh,Promotional,,
LIC Premium for Policy No. 249091434 of Rs. *****9693.30 is due on 28/11/2023. You can pay premium online at https://ebiz.licindia.in/D2CPM/#Login.,Service,,
"Dear Customer! Your wallet has been Successfully added with INR- 10,000/- towards Ref id-DS26249 Check Now:- nc.1on.in/jaCZQYQcWSHOP@BSTSHOP@BST",Service,,
DTH DOST Gross : 28 NOV 23 at 13 HRS:? DOST GADI -0/0(0/0),Service,,
"Hey User, AXIS Bank- Get your Pre-qualified AXIS bank Card with a limit of upto Rs.3,50,000 -. Confi rm your details Now : https://1kz5.com/2169/aaaeo7v2j5",Promotional,,
"Hi, Use OTP 313946 to login  Wifiwala portal. Team Wifiwala",Service,,
"Dear Customer, Your LCSupermart OTP is 335877.",Service,,
YOUR LOGIN OTP FOR GAJASH STORE IS - 313946,Promotional,,
"26       , 2023?, ?????? ??? ?????? ????? ???? ???????? ???? ?? ??????? ??? ???? ??? ?????? ?? ??????? ????  - ????? ?????",Promotional,,
"Reduce, Reuse and Recycle. Let s build a clean Maharashtra for generations to come.
Swachh Maharashtra Mission (Urban) 2.0",Promotional,,
"Hi Syed, Congratulations! Your CIBIL score is up! It's time to apply for upto Rs 5L MoneyTap credit line. Start now. a1.moneytap.com/mynLM5n",Promotional,,
Good News 915044xxxx Loan amount of Rs 125000 Can Be ready to be disbursed. Confirm your details l01.in/ia6f44!8gmhh7m - Credit Mantri,Promotional,,
"Hey User, AXIS Bank- Get your Pre-qualified AXIS bank Card with a limit of upto Rs.3,50,000/-. Confirm your details Now : https://1kz5.com/2174/aaaememp0k",Promotional,,
Knock Knock! It's your Rewards! Expand & Upgrade to your new HDFC Bank Regalia Gold Credit Card & get showered with rewards! Start hdfcbk.io/a/pyAGJJlL . T&C,Promotional,,
"Good News..   Your Loan Amount for Rs.99,000 - Is Successfully Approved Check Your Loan Status: http s://1kz5.com/2178/aaadpp37ri",Promotional,,
"FEDERAL BANK brings pre-approved loan of Rs.500000 with min docs, flexible terms and direct bank transfer. Click http://nc7.in/VkpbaTjJ Paisabazaar",Promotional,,
"Pl pay premium due 10/2023 under Policy No.295013689 on or before 28/11/2023. You can pay online at https://ebiz.licindia.in/D2CPM/#Login. Pl Ignore, if paid",Service,,
"Hi Saji, Last day 21.21% CAGR 10 year benchmark returns in Nifty MidCap 150 Index Rs.10 NAV till 28 Nov 2023 Call 18002094040 | Tap http://nmc.sg/kl5wRH T&C Apply BajajAllianzLifeInsuranceCoLtd",Promotional,,
SOLICITATION SMS FROM NIVA BUPA INSURANCE COMPANY RECEIVED,Service,,
"Good News..   Your Loan Amount for Rs.99,000 - Is Successfully Approved Check Your Loan Status: http s://1kz5.com/2178/aaadlfuaxu",Promotional,,
"Offer for 8179XXX883 ! Recharge now to enjoy 1.5GB/day, 100 SMS/day & UL calls for 28 days in Rs239. Get exclusive benefits on Thanks App. i.airtel.in/AirRech",Promotional,,
"BOI UPI - Set UPI PIN failed. If not initiated by you, report to bank helpline no.02240919191.Do not share card details/OTP",Service,,
"Hi , Rs 45,000 credit in your bank acc. XXX8259 as Snapmint Loan, No document required, transfer in 4 working hrs. T&C. Get Now. snpmt.in/Nyq5gY",Promotional,,
payment OVERDUE: It has been reported to CIBIL. Pay now to repair your financial credibility: bit.ly/slice-repay. See email from slice for details. - slice,Promotional,,
Offer Updated! Your Pre Approved loan up to Rs.200000 from KreditBee is waiting. Quick disbursal. Min docs. Click http://nc7.in/VkqruVBi Paisabazaar,Promotional,,
"218370 is your OTP for Download eEpic. Please enter the OTP to proceed and do not share it with anyone, ECI.",Service,,
Delivery failed for Keya Seth Aromatherapy Dark Ci from AMAZONINDIA (AWB 13371286413995). Call +919784385494 for reattempt today -Delhivery,Service,,
Delivery failed for Keya Seth Aromatherapy Dark Ci from AMAZONINDIA (AWB 13371286413995). Call +919784385494 for reattempt today -Delhivery,Service,,
"Hi Satynam, When it comes to your health, don't trust any lab; trust the right one. Book a Full Body Health Checkup @Rs.799 only. Call Healthians 9289628086",Promotional,,
LetsShave's Monthly Sale is Live! Grab Up to 49% off on your Favs + FREE delivery. Valid for 24hrs Buy now! bz1.in/qRH/OGyzT03 Team LetsShave,Promotional,,
"Dear 63820393XX Prize Pool: 3,50,00,000 (3.5 Cr)* Enter RummyCircle's 101 Pool Rummy now: http://gmg.im/hCRBBb Optout sms RCOUT to 56161 *T&C  -Ace Sports",Promotional,,
"Dear User, get exclusive cashback on your first credit card bill payment of the month. Use code: CCFIRST. Try Now: ct3.io/ivmfSp -MobiKwik",Promotional,,
"You're missing out on the most binge worthy shows like Starstruck - Season 3 & Manhattan- S1 & S2 (Library)! Get Airtel Xstream Play & enjoy access to 15+ OTTs, including Sony LIV, Eros Now, LionsgatePlay, hoichoi, Chaupal and more. Watch movies, web series & more, all in one app. Download Now open.airtelxstream.in/XPPSSia",Promotional,,
"Hey Toibur, Say No to Higher Prices Shop for 749 & Get 2 Products Worth 1398 FREE Live Now Use Code: MEGAOFFER Shop: u1.mnge.co/WQ9YBWJ Mamaearth",Promotional,,
"Mrs. Vinita Received Rs. 60,000* by activating Mobikwik Zip.

Get Rs. 60,000* credited to your Mobikwik account. 

Install http://1kx.in/xgOTP1 -MobiKwik",Promotional,,
